Time;Address;Goodput;Delay
1096;localhost;85,4400;-0,9625
1147;localhost;0,0000;NaN
1198;localhost;0,0000;NaN
1250;localhost;0,0000;NaN
1301;localhost;0,0000;NaN
1352;localhost;0,0000;NaN
1403;localhost;0,0000;NaN
1454;localhost;0,0000;NaN
1505;localhost;0,0000;NaN
1556;localhost;0,0000;NaN
1607;localhost;0,0000;NaN
1658;localhost;0,0000;NaN
1710;localhost;0,0000;NaN
1763;localhost;0,0000;NaN
1815;localhost;0,0000;NaN
1866;localhost;0,0000;NaN
1917;localhost;0,0000;NaN
1968;localhost;0,0000;NaN
2019;localhost;0,0000;NaN
2070;localhost;0,0000;NaN
2121;localhost;0,0000;NaN
2173;localhost;0,0000;NaN
2224;localhost;0,0000;NaN
2276;localhost;0,0000;NaN
2327;localhost;0,0000;NaN
2378;localhost;0,0000;NaN
2429;localhost;0,0000;NaN
2480;localhost;0,0000;NaN
2531;localhost;0,0000;NaN
2582;localhost;0,0000;NaN
2633;localhost;0,0000;NaN
2685;localhost;0,0000;NaN
2736;localhost;0,0000;NaN
2788;localhost;0,0000;NaN
2839;localhost;0,0000;NaN
2890;localhost;0,0000;NaN
2942;localhost;0,0000;NaN
2993;localhost;0,0000;NaN
3045;localhost;0,0000;NaN
3096;localhost;0,0000;NaN
3147;localhost;0,0000;NaN
3199;localhost;0,0000;NaN
3251;localhost;0,0000;NaN
3302;localhost;0,0000;NaN
3354;localhost;0,0000;NaN
3406;localhost;0,0000;NaN
3457;localhost;0,0000;NaN
3509;localhost;0,0000;NaN
3561;localhost;0,0000;NaN
3612;localhost;0,0000;NaN
3664;localhost;0,0000;NaN
3715;localhost;0,0000;NaN
3767;localhost;0,0000;NaN
3819;localhost;0,0000;NaN
3870;localhost;0,0000;NaN
3922;localhost;0,0000;NaN
3974;localhost;0,0000;NaN
4025;localhost;0,0000;NaN
4077;localhost;0,0000;NaN
4128;localhost;0,0000;NaN
4180;localhost;0,0000;NaN
4231;localhost;0,0000;NaN
4282;localhost;0,0000;NaN
4334;localhost;0,0000;NaN
4385;localhost;0,0000;NaN
4436;localhost;0,0000;NaN
4488;localhost;0,0000;NaN
4539;localhost;0,0000;NaN
4590;localhost;0,0000;NaN
4642;localhost;0,0000;NaN
4693;localhost;0,0000;NaN
4744;localhost;0,0000;NaN
4796;localhost;0,0000;NaN
4847;localhost;0,0000;NaN
4898;localhost;0,0000;NaN
4949;localhost;0,0000;NaN
5000;localhost;0,0000;NaN
5052;localhost;0,0000;NaN
5104;localhost;0,0000;NaN
5155;localhost;0,0000;NaN
5207;localhost;0,0000;NaN
5258;localhost;0,0000;NaN
5309;localhost;0,0000;NaN
5361;localhost;0,0000;NaN
5412;localhost;0,0000;NaN
5464;localhost;0,0000;NaN
5515;localhost;0,0000;NaN
5566;localhost;0,0000;NaN
